,Report Date,PRICE:,COMPANY NAME
9,3/31/2019 0:00,293.05,JSW STEEL LTD
10,3/31/2020 0:00,146.25,JSW STEEL LTD
1,3/31/2011 0:00,734.18,LARSEN & TOUBRO LTD
2,3/31/2012 0:00,581.78,LARSEN & TOUBRO LTD
3,3/31/2013 0:00,607.2,LARSEN & TOUBRO LTD
4,3/31/2014 0:00,847.93,LARSEN & TOUBRO LTD
5,3/31/2015 0:00,1146.43,LARSEN & TOUBRO LTD
6,3/31/2016 0:00,811.13,LARSEN & TOUBRO LTD
7,3/31/2017 0:00,1049.93,LARSEN & TOUBRO LTD
8,3/31/2018 0:00,1310.9,LARSEN & TOUBRO LTD
9,3/31/2019 0:00,1385.3,LARSEN & TOUBRO LTD
10,3/31/2020 0:00,808.5,LARSEN & TOUBRO LTD
1,3/31/2011 0:00,350.18,MAHINDRA & MAHINDRA LTD
2,3/31/2012 0:00,350.1,MAHINDRA & MAHINDRA LTD
3,3/31/2013 0:00,430.65,MAHINDRA & MAHINDRA LTD
4,3/31/2014 0:00,490.35,MAHINDRA & MAHINDRA LTD
5,3/31/2015 0:00,593.9,MAHINDRA & MAHINDRA LTD
6,3/31/2016 0:00,605.35,MAHINDRA & MAHINDRA LTD
7,3/31/2017 0:00,643.45,MAHINDRA & MAHINDRA LTD
8,3/31/2018 0:00,738.9,MAHINDRA & MAHINDRA LTD
9,3/31/2019 0:00,673.9,MAHINDRA & MAHINDRA LTD
10,3/31/2020 0:00,284.95,MAHINDRA & MAHINDRA LTD
1,3/31/2011 0:00,228.93,KOTAK MAHINDRA BANK LTD
2,3/31/2012 0:00,272.68,KOTAK MAHINDRA BANK LTD
3,3/31/2013 0:00,326.5,KOTAK MAHINDRA BANK LTD
4,3/31/2014 0:00,390.53,KOTAK MAHINDRA BANK LTD
5,3/31/2015 0:00,656.63,KOTAK MAHINDRA BANK LTD
6,3/31/2016 0:00,680.65,KOTAK MAHINDRA BANK LTD
7,3/31/2017 0:00,872.2,KOTAK MAHINDRA BANK LTD
8,3/31/2018 0:00,1047.8,KOTAK MAHINDRA BANK LTD
9,3/31/2019 0:00,1334.5,KOTAK MAHINDRA BANK LTD
10,3/31/2020 0:00,1296.05,KOTAK MAHINDRA BANK LTD
1,3/31/2011 0:00,121.4,ITC LTD
2,3/31/2012 0:00,151.27,ITC LTD
3,3/31/2013 0:00,206.3,ITC LTD
4,3/31/2014 0:00,235.23,ITC LTD
5,3/31/2015 0:00,217.23,ITC LTD
6,3/31/2016 0:00,218.83,ITC LTD
7,3/31/2017 0:00,280.3,ITC LTD
8,3/31/2018 0:00,255.5,ITC LTD
9,3/31/2019 0:00,297.25,ITC LTD
10,3/31/2020 0:00,171.7,ITC LTD
1,3/31/2011 0:00,405.17,INFOSYS LTD
2,3/31/2012 0:00,358.29,INFOSYS LTD
3,3/31/2013 0:00,361.17,INFOSYS LTD
4,3/31/2014 0:00,410.35,INFOSYS LTD
5,3/31/2015 0:00,554.59,INFOSYS LTD
6,3/31/2016 0:00,609.15,INFOSYS LTD
7,3/31/2017 0:00,511.13,INFOSYS LTD
8,3/31/2018 0:00,565.9,INFOSYS LTD
9,3/31/2019 0:00,743.85,INFOSYS LTD
10,3/31/2020 0:00,641.5,INFOSYS LTD
1,3/31/2011 0:00,83.22,INDIAN OIL CORPORATION LTD
2,3/31/2012 0:00,65.68,INDIAN OIL CORPORATION LTD
3,3/31/2013 0:00,70.4,INDIAN OIL CORPORATION LTD
4,3/31/2014 0:00,70.42,INDIAN OIL CORPORATION LTD
5,3/31/2015 0:00,92.17,INDIAN OIL CORPORATION LTD
6,3/31/2016 0:00,98.4,INDIAN OIL CORPORATION LTD
7,3/31/2017 0:00,193.53,INDIAN OIL CORPORATION LTD
8,3/31/2018 0:00,176.6,INDIAN OIL CORPORATION LTD
9,3/31/2019 0:00,162.85,INDIAN OIL CORPORATION LTD
10,3/31/2020 0:00,81.65,INDIAN OIL CORPORATION LTD
